  BQX2  [ui16]  60433 (bytes ec 11)
  BQX3  [ui16]  44305 (bytes ad 11)
  BR00  [ui16]  40193 (bytes 9d 01)
  BR01  [ui16]  20224 (bytes 4f 00)
  BR02  [ui16]  9984 (bytes 27 00)
  BR03  [ui16]  9216 (bytes 24 00)
  BR04  [ui16]  23552 (bytes 5c 00)
  BR05  [ui16]  14080 (bytes 37 00)
  BR06  [ui16]  23552 (bytes 5c 00)
  BR07  [ui16]  26368 (bytes 67 00)
  BR08  [ui16]  29440 (bytes 73 00)
  BR09  [ui16]  29184 (bytes 72 00)
  BR0C  [ui16]  0 (bytes 00 00)
  BR0W  [ui16]  20224 (bytes 4f 00)
  BR10  [ui16]  32000 (bytes 7d 00)
  BR11  [ui16]  33792 (bytes 84 00)
  BR12  [ui16]  45056 (bytes b0 00)
  BR13  [ui16]  33537 (bytes 83 01)
  BR14  [ui16]  40706 (bytes 9f 02)
  BR1W  [ui16]  20224 (bytes 4f 00)
  BR2W  [ui16]  24832 (bytes 61 00)
  BR3W  [ui16]  23808 (bytes 5d 00)
  BRC0  [ui32]  0 (bytes 00 00 00 00)
  BRC1  [ui32]  0 (bytes 00 00 00 00)
  BROS  [ui32]  0 (bytes 00 00 00 00)
  BRSC  [ui8 ]  98 (bytes 62)
  BSFC  [flag]  true (bytes 01)
  BT0C  [flag]  true (bytes 01)
  BT0L  [flag]  false (bytes 00)
  BT0V  [flag]  true (bytes 01)
  BTHC  [ui8 ]  0 (bytes 00)
  BTHW  [ui8 ]  0 (bytes 00)
  BTIL  [ui32]  1745289216 (bytes 68 07 00 00)
  BTRA  [hex_]  303174162 (bytes 12 12 12 12 12 12 19 19 19 19 12 55 32 32 19 12 78 64 46 2d)
  BTRO  [ui8 ]  0 (bytes 00)
  BTRS  [ui8 ]  100 (bytes 64)
  BTRT  [flt ]  0.45 (bytes 66 66 e6 3e)
  BTSI  [ui32]  1745289216 (bytes 68 07 00 00)
  BTSV  [ui32]  1225850880 (bytes 49 11 00 00)
  BTTA  [hex_]  201330432 (bytes 0c 00 0f 00 14 00 2d 00)
  BTTC  [ui8 ]  4 (bytes 04)
  BTTI  [ui8 ]  255 (bytes ff)
  BTTS  [flag]  false (bytes 00)
