  BL0D  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BLCC  [ui16]  28416 (bytes 6f 00)
  BLCM  [si16]  28173 (bytes 6e 0d)
  BLCR  [ui8 ]  0 (bytes 00)
  BLCX  [si16]  -1264 (bytes fb 10)
  BLH0  [ui32]  0 (bytes 00 00 00 00)
  BLH1  [ui32]  422248448 (bytes 19 2b 00 00)
  BLH2  [ui32]  2214854656 (bytes 84 04 00 00)
  BLH3  [ui32]  352321536 (bytes 15 00 00 00)
  BLIC  [si16]  5157 (bytes 14 25)
  BLID  [si16]  4311 (bytes 10 d7)
  BLPM  [si16]  24104 (bytes 5e 28)
  BLPX  [si16]  -6606 (bytes e6 32)
  BLTA  [si16]  -4608 (bytes ee 00)
  BLTM  [si16]  3328 (bytes 0d 00)
  BLTO  [ui32]  75038720 (bytes 04 79 00 00)
  BLTS  [si32]  1116735232 (bytes 42 90 07 00)
  BLTX  [si16]  10752 (bytes 2a 00)
  BMCD  [ui16]  0 (bytes 00 00)
  BMDA  [ch8*]  (bytes 00 00 00 00 0b 00 01 00 40 14 00 00 04 31 39 31 36 03 30 30 32 03 43 4f 53 00 10 00 00 00 00 00)
  BMDB  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BMDN  [ch8*]  (bytes 62 71 34 30 7a 36 35 31 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BMDT  [ch8*]  (bytes 33 31 30 31 30 34 00)
  BMSC  [ui8 ]  100 (bytes 64)
  BMSN  [ch8*]  (bytes 46 35 44 33 30 31 33 44 58 33 30 30 56 43 35 42 59 00 00 00 00)
  BMW1  [ch8*]  (bytes 00 00 00 00)
  BMW2  [ch8*]  (bytes 00 00 00 00)
  BNCB  [si8 ]  3 (bytes 03)
  BNSC  [ui8 ]  56 (bytes 38)
  BPCC  [hex_]  257 (bytes 01 01)
  BPEX  [hex_]  0 (bytes 00)
  BQCC  [si16]  512 (bytes 02 00)
  BQD1  [ui16]  20483 (bytes 50 03)
  BQD2  [ui16]  20483 (bytes 50 03)
  BQD3  [ui16]  20483 (bytes 50 03)
  BQX1  [ui16]  4641 (bytes 12 21)
  BQX2  [ui16]  40992 (bytes a0 20)
  BQX3  [ui16]  39712 (bytes 9b 20)
  BR00  [ui16]  60672 (bytes ed 00)
  BR01  [ui16]  17152 (bytes 43 00)
  BR02  [ui16]  13824 (bytes 36 00)
  BR03  [ui16]  15360 (bytes 3c 00)
  BR04  [ui16]  19456 (bytes 4c 00)
  BR05  [ui16]  12800 (bytes 32 00)
  BR06  [ui16]  15616 (bytes 3d 00)
  BR07  [ui16]  17920 (bytes 46 00)
  BR08  [ui16]  21504 (bytes 54 00)
  BR09  [ui16]  24832 (bytes 61 00)
  BR0C  [ui16]  0 (bytes 00 00)
  BR0W  [ui16]  15360 (bytes 3c 00)
  BR10  [ui16]  24832 (bytes 61 00)
  BR11  [ui16]  26112 (bytes 66 00)
  BR12  [ui16]  39936 (bytes 9c 00)
  BR13  [ui16]  13057 (bytes 33 01)
  BR14  [ui16]  62465 (bytes f4 01)
  BR1W  [ui16]  15360 (bytes 3c 00)
  BR2W  [ui16]  18688 (bytes 49 00)
  BR3W  [ui16]  18944 (bytes 4a 00)
  BRC0  [ui32]  0 (bytes 00 00 00 00)
  BRC1  [ui32]  0 (bytes 00 00 00 00)
  BROS  [ui32]  0 (bytes 00 00 00 00)
  BRSC  [ui8 ]  99 (bytes 63)
  BSFC  [flag]  true (bytes 01)
  BT0C  [flag]  false (bytes 00)
  BT0L  [flag]  false (bytes 00)
  BT0V  [flag]  true (bytes 01)
  BTHC  [ui8 ]  0 (bytes 00)
  BTHW  [ui8 ]  0 (bytes 00)
  BTIL  [ui32]  3272409088 (bytes c3 0d 00 00)
  BTRA  [hex_]  168430090 (bytes 0a 0a 0a 0a 0a 0a 19 19 19 19 0a 55 32 32 19 0a 78 64 46 2d 0a 78 64 46 2d)
  BTRO  [ui8 ]  0 (bytes 00)
  BTRS  [ui8 ]  100 (bytes 64)
  BTRT  [flt ]  0.45 (bytes 66 66 e6 3e)
  BTSI  [ui32]  3272409088 (bytes c3 0d 00 00)
  BTSV  [ui32]  3356491776 (bytes c8 10 00 00)
  BTTA  [hex_]  201330432 (bytes 0c 00 0f 00 14 00 23 00 2d 00)
  BTTC  [ui8 ]  5 (bytes 05)
  BTTI  [ui8 ]  255 (bytes ff)
  BTTS  [flag]  false (bytes 00)
  BTVA  [hex_]  3087738640 (bytes b8 0b 27 10 59 10 8b 10 ef 10)
  BTVC  [ui8 ]  5 (bytes 05)
  BTVI  [ui8 ]  255 (bytes ff)
  BTVL  [ui32]  4010803200 (bytes ef 10 00 00)
  BUIC  [ui8 ]  100 (bytes 64)
  BUPT  [hex_]  2558070528 (bytes 98 79 0f 00 00 00 00 00)
  BVCA  [hex_]  1677760000 (bytes 64 00 96 00 c8 00 fa 00 e8 03 ff ff)
  BVHA  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  BVVA  [hex_]  4010861840 (bytes ef 10 e5 10 d1 10 bd 10 b3 10 81 10)
  BVVI  [ui8 ]  1 (bytes 01)
  BVVL  [ui16]  51216 (bytes c8 10)
  BVVM  [ui16]  51216 (bytes c8 10)
  BVVN  [ui16]  58640 (bytes e5 10)
  BVVO  [ui16]  61200 (bytes ef 10)
  BVVP  [ui16]  58640 (bytes e5 10)
  BVVQ  [ui16]  51216 (bytes c8 10)
  BVVR  [ui16]  51216 (bytes c8 10)
  BfDC  [ui32]  2693136640 (bytes a0 86 01 00)
  BfRM  [ui32]  2693136640 (bytes a0 86 01 00)
  BfSC  [ui8 ]  100 (bytes 64)
  BnDC  [ui32]  2693136640 (bytes a0 86 01 00)
  Bvt0  [ui8 ]  1 (bytes 01)
  Bvt1  [ui32]  4202168320 (bytes fa 78 00 00)
  Bvt2  [flt ]  0.3282348 (bytes 64 0e a8 3e)
  Bvt3  [flt ]  0.3484197 (bytes 11 64 b2 3e)
  Bvt4  [flt ]  -0.16961467 (bytes 78 af 2d be)
  Bvt5  [flt ]  0.020184904 (bytes d0 5a a5 3c)
  Bvt6  [flt ]  0.018858243 (bytes 9a 7c 9a 3c)
  Bvt7  [flt ]  4.2959566 (bytes 7a 78 89 40)
  Bvt8  [flt ]  4.2959566 (bytes 7a 78 89 40)
  Bvt9  [ui8 ]  0 (bytes 00)
  Bvta  [hex_]  0 (bytes 00 00 00 00 0e 2b 00 00 84 04 00 00 15 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00)
  Bvtb  [ui32]  184549376 (bytes 0b 00 00 00)
  CBCL  [ui32]  0 (bytes 00 00 00 00)
  CBSC  [ui32]  100663296 (bytes 06 00 00 00)
  CBSV  [ui32]  83886080 (bytes 05 00 00 00)
  CBTC  [ui8 ]  1 (bytes 01)
  CH0D  [hex_]  218103808 (bytes 0d 00 00 00)
  CH0E  [hex_]  0 (bytes 00 00 00 00 00 00 00 00)
  CH0H  [ui64]  (bytes 00 00 00 00 00 00 00 00)
  CH0R  [hex_]  0 (bytes 00 00 00 00)
  CH0V  [ui32]  3643867136 (bytes d9 31 00 00)
  CHA1  [ui32]  671809536 (bytes 28 0b 00 00)
  CHA2  [ui32]  0 (bytes 00 00 00 00)
  CHAI  [ui32]  0 (bytes 00 00 00 00)
  CHAS  [ui32]  671809536 (bytes 28 0b 00 00)
  CHBI  [ui32]  0 (bytes 00 00 00 00)
  CHBV  [ui32]  3390046208 (bytes ca 10 00 00)
  CHCC  [ui8 ]  1 (bytes 01)
  CHCE  [ui8 ]  1 (bytes 01)
  CHCF  [hex_]  3 (bytes 03)
  CHCR  [ui8 ]  1 (bytes 01)
  CHDB  [hex_]  0 (bytes 00 00)
  CHFS  [ui32]  16777216 (bytes 01 00 00 00)
  CHHC  [ui16]  0 (bytes 00 00)
  CHI1  [ui32]  2416640000 (bytes 90 0b 00 00)
  CHI2  [ui32]  4294967295 (bytes ff ff ff ff)
  CHIB  [ui8 ]  0 (bytes 00)
  CHIC  [ui8 ]  0 (bytes 00)
  CHIE  [hex_]  0 (bytes 00)
  CHIF  [ui32]  16777216 (bytes 01 00 00 00)
  CHIL  [flag]  false (bytes 00)
  CHIM  [ui32]  2282946560 (bytes 88 13 00 00)
  CHIO  [flag]  false (bytes 00)
  CHIS  [ui32]  16777216 (bytes 01 00 00 00)
  CHLT  [hex_]  0 (bytes 00 00 00)
  CHM2  [hex_]  4294967295 (bytes ff ff ff ff 00 00 00 00 00 00 00 00)
  CHNC  [hex_]  16793600 (bytes 01 00 40 00 00 00 00 00)
  CHNI  [si32]  -452984832 (bytes e5 00 00 00)
  CHOC  [ui32]  0 (bytes 00 00 00 00)
  CHPS  [ui32]  16777216 (bytes 01 00 00 00)
  CHRT  [ui8 ]  0 (bytes 00)
  CHSC  [ui8 ]  0 (bytes 00)
  CHSE  [ui8 ]  0 (bytes 00)
  CHST  [ui8 ]  0 (bytes 00)
  CHSW  [hex_]  0 (bytes 00 00 00 00 00 00 00 00)
