  CLSD  [ui64]  (bytes 60 d3 9a 0e e8 29 00 00)
  CLSP  [ui64]  (bytes 00 00 00 00 00 00 00 00)
  CLWK  [ui64]  (bytes 28 9c ca 0e e8 29 00 00)
  CMCR  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  CMR0  [si32]  0 (bytes 00 00 00 00)
  CMR1  [si32]  0 (bytes 00 00 00 00)
  CMR2  [si32]  0 (bytes 00 00 00 00)
  CMR3  [si32]  0 (bytes 00 00 00 00)
  D1Ac  [hex_]  0 (bytes 00 00 00 00)
  D1Au  [ui8 ]  0 (bytes 00)
  D1BD  [ui32]  0 (bytes 00 00 00 00)
  D1BI  [ui16]  0 (bytes 00 00)
  D1CA  [ui16]  0 (bytes 00 00)
  D1CD  [ui16]  0 (bytes 00 00)
  D1CF  [ui16]  0 (bytes 00 00)
  D1CR  [ui16]  0 (bytes 00 00)
  D1CS  [ui8 ]  0 (bytes 00)
  D1CT  [ui8 ]  0 (bytes 00)
  D1CU  [ui8 ]  0 (bytes 00)
  D1CX  [ui8 ]  0 (bytes 00)
  D1CY  [ui8 ]  0 (bytes 00)
  D1CZ  [ui8 ]  0 (bytes 00)
  D1Cb  [ui8 ]  0 (bytes 00)
  D1Cc  [ui16]  0 (bytes 00 00)
  D1Cf  [ui16]  0 (bytes 00 00)
  D1Ci  [ui16]  0 (bytes 00 00)
  D1Cm  [ui16]  0 (bytes 00 00)
  D1Cn  [ui16]  0 (bytes 00 00)
  D1Cr  [ui16]  0 (bytes 00 00)
  D1Cs  [ui16]  0 (bytes 00 00)
  D1Ct  [ui16]  0 (bytes 00 00)
  D1Cv  [ui16]  0 (bytes 00 00)
  D1Cw  [ui16]  0 (bytes 00 00)
  D1DA  [hex_]  13 (bytes 00 0d)
  D1DE  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1DI  [ui8 ]  4 (bytes 04)
  D1DP  [hex_]  0 (bytes 00 00 00 00 00 00 00 00)
  D1DR  [flag]  true (bytes 01)
  D1Dp  [flag]  false (bytes 00)
